Dataset,Type,Auto-Sklearn,AutoGluon,AutoWEKA,H2O,TPOT,AlphaD3M
task_10101,binary,0.761,0.782,0.755,0.747,0.779,0.79
task_12,multiclass,0.976,0.981,0.977,0.98,0.97,0.976
task_146195,multiclass,0.838,0.869,0.704,0.865,0.86,0.777
task_146212,multiclass,1,1,0.999,1,1,1
task_146606,binary,0.728,0.733,0.607,0.721,0.723,0.717
task_146818,binary,,0.867,0.865,0.874,0.862,0.861
task_146821,multiclass,0.992,0.999,0.855,0.998,0.998,0.954
task_146822,multiclass,0.982,0.987,0.983,0.987,0.981,0.979
task_146825,multiclass,0.88,0.901,0.848,0.897,0.769,0.861
task_14965,binary,0.905,0.911,0.898,0.908,0.906,0.906
task_167119,multiclass,0.907,0.988,0.754,0.909,0.927,0.86
task_167120,binary,0.519,0.511,0.52,0.505,0.052,0.52
task_168329,multiclass,0.216,0.37,0.275,0.184,0.324,0.374
task_168330,multiclass,,0.731,0.644,0.725,0.709,0.705
task_168331,multiclass,0.68,0.748,0.622,0.71,0.659,0.659
task_168332,multiclass,0.457,0.491,,0.49,,0.474
task_168335,binary,0.943,0.949,0.91,0.948,0.937,0.946
task_168337,binary,0.816,0.852,,0.838,0.679,0.818
task_168338,binary,,0.998,,0.998,,0.981
task_168868,binary,0.994,0.995,0.99,0.994,0.991,0.993
task_168908,binary,0.75,0.745,0.71,0.736,0.732,0.74
task_168909,multiclass,0.986,0.993,0.979,0.985,0.941,0.945
task_168910,multiclass,0.71,0.744,0.587,0.733,0.677,0.696
task_168911,binary,0.824,0.827,0.811,0.822,0.828,0.807
task_168912,binary,0.95,0.958,0.939,0.93,0.958,0.957
task_189354,binary,0.664,0.658,,0.616,0.643,0.649
task_189355,multiclass,,0.834,0.182,,0.217,0.882
task_189356,binary,0.684,0.69,0.626,0.665,0.654,0.65
task_3,binary,0.996,0.997,0.961,0.996,0.796,0.962
task_31,binary,,0.762,0.724,0.766,0.755,0.755
task_34539,binary,0.95,0.953,0.947,0.952,0.95,0.947
task_3917,binary,0.845,0.868,0.859,0.816,0.858,0.86
task_3945,binary,0.982,0.982,0.98,0.973,0.982,0.982
task_53,multiclass,0.826,0.872,0.794,0.838,0.855,0.839
task_7592,binary,0.86,0.875,0.862,0.865,0.871,0.867
task_7593,multiclass,0.966,0.977,0.643,0.885,0.756,0.947
task_9952,binary,0.904,0.92,0.905,0.909,0.915,0.904
task_9977,binary,0.987,0.981,0.981,0.973,0.985,0.965
task_9981,multiclass,0.951,0.946,0.815,0.956,0.951,0.946