Dataset,Type,Performance,AutoML
task_10101,binary,0.755,AutoWEKA
task_12,multiclass,0.977,AutoWEKA
task_146195,multiclass,0.704,AutoWEKA
task_146212,multiclass,0.999,AutoWEKA
task_146606,binary,0.607,AutoWEKA
task_146818,binary,0.865,AutoWEKA
task_146821,multiclass,0.855,AutoWEKA
task_146822,multiclass,0.983,AutoWEKA
task_146825,multiclass,0.848,AutoWEKA
task_14965,binary,0.898,AutoWEKA
task_167119,multiclass,0.754,AutoWEKA
task_167120,binary,0.52,AutoWEKA
task_168329,multiclass,0.275,AutoWEKA
task_168330,multiclass,0.644,AutoWEKA
task_168331,multiclass,0.622,AutoWEKA
task_168332,multiclass,0,AutoWEKA
task_168335,binary,0.91,AutoWEKA
task_168337,binary,0,AutoWEKA
task_168338,binary,0,AutoWEKA
task_168868,binary,0.99,AutoWEKA
task_168908,binary,0.71,AutoWEKA
task_168909,multiclass,0.979,AutoWEKA
task_168910,multiclass,0.587,AutoWEKA
task_168911,binary,0.811,AutoWEKA
task_168912,binary,0.939,AutoWEKA
task_189354,binary,0,AutoWEKA
task_189355,multiclass,0.364,AutoWEKA
task_189356,binary,0.626,AutoWEKA
task_3,binary,0.961,AutoWEKA
task_31,binary,0.724,AutoWEKA
task_34539,binary,0.947,AutoWEKA
task_3917,binary,0.859,AutoWEKA
task_3945,binary,0.98,AutoWEKA
task_53,multiclass,0.794,AutoWEKA
task_7592,binary,0.862,AutoWEKA
task_7593,multiclass,0.643,AutoWEKA
task_9952,binary,0.905,AutoWEKA
task_9977,binary,0.981,AutoWEKA
task_9981,multiclass,0.815,AutoWEKA
task_10101,binary,0.761,Auto-Sklearn
task_12,multiclass,0.976,Auto-Sklearn
task_146195,multiclass,0.838,Auto-Sklearn
task_146212,multiclass,1,Auto-Sklearn
task_146606,binary,0.728,Auto-Sklearn
task_146818,binary,0,Auto-Sklearn
task_146821,multiclass,0.992,Auto-Sklearn
task_146822,multiclass,0.982,Auto-Sklearn
task_146825,multiclass,0.88,Auto-Sklearn
task_14965,binary,0.905,Auto-Sklearn
task_167119,multiclass,0.907,Auto-Sklearn
task_167120,binary,0.519,Auto-Sklearn
task_168329,multiclass,0.216,Auto-Sklearn
task_168330,multiclass,0,Auto-Sklearn
task_168331,multiclass,0.68,Auto-Sklearn
task_168332,multiclass,0.457,Auto-Sklearn
task_168335,binary,0.943,Auto-Sklearn
task_168337,binary,0.816,Auto-Sklearn
task_168338,binary,0,Auto-Sklearn
task_168868,binary,0.994,Auto-Sklearn
task_168908,binary,0.75,Auto-Sklearn
task_168909,multiclass,0.986,Auto-Sklearn
task_168910,multiclass,0.71,Auto-Sklearn
task_168911,binary,0.824,Auto-Sklearn
task_168912,binary,0.95,Auto-Sklearn
task_189354,binary,0.664,Auto-Sklearn
task_189355,multiclass,0,Auto-Sklearn
task_189356,binary,0.684,Auto-Sklearn
task_3,binary,0.996,Auto-Sklearn
task_31,binary,0,Auto-Sklearn
task_34539,binary,0.95,Auto-Sklearn
task_3917,binary,0.845,Auto-Sklearn
task_3945,binary,0.982,Auto-Sklearn
task_53,multiclass,0.826,Auto-Sklearn
task_7592,binary,0.86,Auto-Sklearn
task_7593,multiclass,0.966,Auto-Sklearn
task_9952,binary,0.904,Auto-Sklearn
task_9977,binary,0.987,Auto-Sklearn
task_9981,multiclass,0.951,Auto-Sklearn
task_10101,binary,0.779,TPOT
task_12,multiclass,0.97,TPOT
task_146195,multiclass,0.86,TPOT
task_146212,multiclass,1,TPOT
task_146606,binary,0.723,TPOT
task_146818,binary,0.862,TPOT
task_146821,multiclass,0.998,TPOT
task_146822,multiclass,0.981,TPOT
task_146825,multiclass,0.769,TPOT
task_14965,binary,0.906,TPOT
task_167119,multiclass,0.927,TPOT
task_167120,binary,0.521,TPOT
task_168329,multiclass,0.324,TPOT
task_168330,multiclass,0.709,TPOT
task_168331,multiclass,0.659,TPOT
task_168332,multiclass,0,TPOT
task_168335,binary,0.937,TPOT
task_168337,binary,0.679,TPOT
task_168338,binary,0,TPOT
task_168868,binary,0.991,TPOT
task_168908,binary,0.732,TPOT
task_168909,multiclass,0.941,TPOT
task_168910,multiclass,0.677,TPOT
task_168911,binary,0.828,TPOT
task_168912,binary,0.958,TPOT
task_189354,binary,0.643,TPOT
task_189355,multiclass,0.541,TPOT
task_189356,binary,0.654,TPOT
task_3,binary,0.995,TPOT
task_31,binary,0.755,TPOT
task_34539,binary,0.95,TPOT
task_3917,binary,0.858,TPOT
task_3945,binary,0.982,TPOT
task_53,multiclass,0.855,TPOT
task_7592,binary,0.871,TPOT
task_7593,multiclass,0.756,TPOT
task_9952,binary,0.915,TPOT
task_9977,binary,0.985,TPOT
task_9981,multiclass,0.951,TPOT
task_10101,binary,0.747,H2O
task_12,multiclass,0.98,H2O
task_146195,multiclass,0.865,H2O
task_146212,multiclass,1,H2O
task_146606,binary,0.721,H2O
task_146818,binary,0.874,H2O
task_146821,multiclass,0.998,H2O
task_146822,multiclass,0.987,H2O
task_146825,multiclass,0.897,H2O
task_14965,binary,0.908,H2O
task_167119,multiclass,0.909,H2O
task_167120,binary,0.505,H2O
task_168329,multiclass,0.368,H2O
task_168330,multiclass,0.725,H2O
task_168331,multiclass,0.71,H2O
task_168332,multiclass,0.49,H2O
task_168335,binary,0.948,H2O
task_168337,binary,0.838,H2O
task_168338,binary,0.998,H2O
task_168868,binary,0.994,H2O
task_168908,binary,0.736,H2O
task_168909,multiclass,0.985,H2O
task_168910,multiclass,0.733,H2O
task_168911,binary,0.822,H2O
task_168912,binary,0.93,H2O
task_189354,binary,0.616,H2O
task_189355,multiclass,0,H2O
task_189356,binary,0.665,H2O
task_3,binary,0.996,H2O
task_31,binary,0.766,H2O
task_34539,binary,0.952,H2O
task_3917,binary,0.816,H2O
task_3945,binary,0.973,H2O
task_53,multiclass,0.838,H2O
task_7592,binary,0.865,H2O
task_7593,multiclass,0.885,H2O
task_9952,binary,0.909,H2O
task_9977,binary,0.973,H2O
task_9981,multiclass,0.956,H2O
task_10101,binary,0.782,AutoGluon
task_12,multiclass,0.981,AutoGluon
task_146195,multiclass,0.869,AutoGluon
task_146212,multiclass,1,AutoGluon
task_146606,binary,0.733,AutoGluon
task_146818,binary,0.867,AutoGluon
task_146821,multiclass,0.999,AutoGluon
task_146822,multiclass,0.987,AutoGluon
task_146825,multiclass,0.901,AutoGluon
task_14965,binary,0.911,AutoGluon
task_167119,multiclass,0.988,AutoGluon
task_167120,binary,0.511,AutoGluon
task_168329,multiclass,0.37,AutoGluon
task_168330,multiclass,0.731,AutoGluon
task_168331,multiclass,0.748,AutoGluon
task_168332,multiclass,0.491,AutoGluon
task_168335,binary,0.949,AutoGluon
task_168337,binary,0.852,AutoGluon
task_168338,binary,0.998,AutoGluon
task_168868,binary,0.995,AutoGluon
task_168908,binary,0.745,AutoGluon
task_168909,multiclass,0.993,AutoGluon
task_168910,multiclass,0.744,AutoGluon
task_168911,binary,0.827,AutoGluon
task_168912,binary,0.958,AutoGluon
task_189354,binary,0.658,AutoGluon
task_189355,multiclass,0.834,AutoGluon
task_189356,binary,0.69,AutoGluon
task_3,binary,0.997,AutoGluon
task_31,binary,0.762,AutoGluon
task_34539,binary,0.953,AutoGluon
task_3917,binary,0.868,AutoGluon
task_3945,binary,0.982,AutoGluon
task_53,multiclass,0.872,AutoGluon
task_7592,binary,0.875,AutoGluon
task_7593,multiclass,0.977,AutoGluon
task_9952,binary,0.92,AutoGluon
task_9977,binary,0.981,AutoGluon
task_9981,multiclass,0.946,AutoGluon
task_10101,binary,0.79,AlphaD3M
task_12,multiclass,0.976,AlphaD3M
task_146195,multiclass,0.777,AlphaD3M
task_146212,multiclass,1,AlphaD3M
task_146606,binary,0.717,AlphaD3M
task_146818,binary,0.861,AlphaD3M
task_146821,multiclass,0.954,AlphaD3M
task_146822,multiclass,0.979,AlphaD3M
task_146825,multiclass,0.861,AlphaD3M
task_14965,binary,0.906,AlphaD3M
task_167119,multiclass,0.86,AlphaD3M
task_167120,binary,0.52,AlphaD3M
task_168329,multiclass,0.374,AlphaD3M
task_168330,multiclass,0.705,AlphaD3M
task_168331,multiclass,0.659,AlphaD3M
task_168332,multiclass,0.474,AlphaD3M
task_168335,binary,0.946,AlphaD3M
task_168337,binary,0.818,AlphaD3M
task_168338,binary,0.981,AlphaD3M
task_168868,binary,0.993,AlphaD3M
task_168908,binary,0.74,AlphaD3M
task_168909,multiclass,0.945,AlphaD3M
task_168910,multiclass,0.696,AlphaD3M
task_168911,binary,0.807,AlphaD3M
task_168912,binary,0.957,AlphaD3M
task_189354,binary,0.649,AlphaD3M
task_189355,multiclass,0.882,AlphaD3M
task_189356,binary,0.65,AlphaD3M
task_3,binary,0.962,AlphaD3M
task_31,binary,0.755,AlphaD3M
task_34539,binary,0.947,AlphaD3M
task_3917,binary,0.86,AlphaD3M
task_3945,binary,0.982,AlphaD3M
task_53,multiclass,0.839,AlphaD3M
task_7592,binary,0.867,AlphaD3M
task_7593,multiclass,0.947,AlphaD3M
task_9952,binary,0.904,AlphaD3M
task_9977,binary,0.965,AlphaD3M
task_9981,multiclass,0.946,AlphaD3M